ref,N,hang,mult
NC_000001.10:1153738-1154476,181,0,0
NC_000001.10:1158541-1158879,66,0,0
NC_000001.10:1159149-1159478,33,0,0
NC_000001.10:1163819-1164335,72,0,0
NC_000001.10:1167550-1168774,66,0,0
NC_000001.10:1177824-1178628,81,0,0
NC_000001.10:1178678-1179013,35,0,0
NC_000001.10:1179251-1180013,59,1,0
NC_000001.10:1181794-1182132,3,0,0
NC_000001.10:1190459-1191022,168,0,0
NC_000001.10:1191271-1191606,55,0,0
NC_000001.10:1192323-1192836,72,0,0
NC_000001.10:1196150-1196930,149,1,0
NC_000001.10:1197597-1197935,45,1,0
NC_000001.10:1198639-1198980,41,3,0
NC_000001.10:1200166-1200436,8,1,0
NC_000001.10:1201246-1201602,67,1,0
NC_000001.10:1203128-1203472,39,2,0
NC_000001.10:1215796-1216146,35,1,0
NC_000001.10:1216502-1217095,101,1,0
NC_000001.10:1217394-1217738,47,2,0
NC_000001.10:1219182-1219526,8,0,0
NC_000001.10:1220843-1221205,13,1,2
NC_000001.10:1221262-1221751,94,1,2
NC_000001.10:1222042-1222703,114,2,4
NC_000001.10:1222778-1223472,77,2,4
NC_000001.10:1225612-1226205,106,5,2
NC_000001.10:1226240-1227556,95,1,2
NC_000001.10:1228740-1229650,69,2,2
NC_000001.10:1229740-1230330,48,2,2
NC_000001.10:1230703-1232084,261,3,0
NC_000001.10:1233132-1233574,30,0,0
NC_000001.10:1233670-1234174,37,0,0
NC_000001.10:1234489-1234830,32,3,0
NC_000001.10:1235059-1235726,76,0,0
NC_000001.10:1235874-1236218,58,2,0
NC_000001.10:1237230-1237556,41,3,0
NC_000001.10:1238159-1238790,46,1,0
NC_000001.10:1239244-1239609,81,0,0
NC_000001.10:1242358-1242862,76,1,1
NC_000001.10:1243004-1243440,6,1,1
NC_000001.10:1243918-1245397,160,2,0
NC_000001.10:1245877-1246544,62,3,0
NC_000001.10:1246595-1248545,268,0,0
NC_000001.10:1248787-1249374,185,0,0
NC_000001.10:1249507-1249848,21,1,0
NC_000001.10:1250058-1250423,47,0,0
NC_000001.10:1250703-1251071,42,2,0
NC_000001.10:1254080-1254913,195,2,0
NC_000001.10:1255673-1256512,107,2,0
NC_000001.10:1257147-1257497,82,2,0
NC_000001.10:1258488-1258838,41,3,0
NC_000001.10:1259872-1260210,27,2,0
NC_000001.10:1262103-1262459,78,2,0
NC_000001.10:1262600-1263267,133,1,0
NC_000001.10:1266630-1270008,508,3,0
NC_000001.10:1271365-1272035,101,2,0
NC_000001.10:1273023-1274105,93,1,0
NC_000001.10:1274667-1275316,98,0,0
NC_000001.10:1275390-1276036,82,3,0
NC_000001.10:1276868-1277221,38,3,4
NC_000001.10:1277243-1277608,52,3,5
NC_000001.10:1277694-1278281,48,3,1
NC_000001.10:1284158-1284576,35,1,0
NC_000001.10:1288462-1289043,20,2,1
NC_000001.10:1289064-1291174,165,0,1
NC_000001.10:1291927-1292280,3,0,0
NC_000001.10:1293673-1294020,37,1,0
NC_000001.10:1296415-1296765,36,1,0
NC_000001.10:1309042-1309878,212,1,1
NC_000001.10:1309948-1310396,46,1,1
NC_000001.10:1322479-1322962,91,0,0
NC_000001.10:1323145-1323578,59,1,0
NC_000001.10:1325596-1326295,190,0,0
NC_000001.10:1326658-1327109,66,1,0
NC_000001.10:1327879-1328330,99,6,0
NC_000001.10:1328674-1329015,41,1,0
NC_000001.10:1330688-1331029,39,4,0
NC_000001.10:1333444-1333767,46,4,2
NC_000001.10:1333835-1334176,61,2,3
NC_000001.10:1334319-1334820,44,5,5
NC_000001.10:1334855-1335202,39,3,5
NC_000001.10:1335417-1335755,44,3,2
NC_000001.10:1335856-1336194,53,2,1
NC_000001.10:1337319-1337657,91,2,0
NC_000001.10:1340992-1341422,55,0,0
NC_000001.10:1342230-1342814,110,0,0
NC_000001.10:1354317-1355073,142,3,0
NC_000001.10:1355380-1356136,6,2,2
NC_000001.10:1356148-1356569,41,0,2
NC_000001.10:1361349-1361791,15,1,0
NC_000001.10:1362784-1363190,4,1,0
NC_000001.10:1370906-1371247,7,0,0
NC_000001.10:1372210-1372945,97,1,0
NC_000001.10:1374343-1375351,61,1,0
NC_000001.10:1387342-1387799,66,11,0
NC_000001.10:1391013-1391333,76,2,0
NC_000001.10:1392490-1392760,28,7,0
NC_000001.10:1395990-1396334,39,1,0
NC_000001.10:1397903-1398223,31,4,0
NC_000001.10:1403710-1404294,40,0,0
NC_000001.10:1412441-1412791,50,5,0
NC_000001.10:1413713-1413983,8,0,0
NC_000001.10:1416037-1416307,40,2,0
NC_000001.10:1417990-1418495,24,1,0
NC_000001.10:1421302-1421572,60,6,0
NC_000001.10:1423060-1423410,53,2,0
NC_000001.10:1424590-1424860,8,2,0
NC_000001.10:1425497-1426063,80,1,0
NC_000001.10:1430824-1431162,47,3,0
NC_000001.10:1444840-1445110,17,2,0
NC_000001.10:1452371-1452641,10,1,0
NC_000001.10:1454085-1454355,32,2,0
NC_000001.10:1459031-1459381,88,2,0
NC_000001.10:1460545-1460865,40,4,0
NC_000001.10:1462938-1463273,31,1,0
NC_000001.10:1464406-1464676,29,4,0
NC_000001.10:1469274-1469624,43,1,0
NC_000001.10:1470607-1471265,106,0,0
NC_000001.10:1474974-1475306,29,1,0
NC_000001.10:1475513-1475848,24,0,0
NC_000001.10:1477219-1477563,56,2,0
NC_000001.10:1479166-1479504,33,1,0
NC_000001.10:1479921-1480508,84,1,0
NC_000001.10:1499716-1500389,114,4,0
NC_000001.10:1509817-1510798,163,0,0
NC_000001.10:1534533-1535508,56,0,0
NC_000001.10:1550764-1551164,6,0,0
NC_000001.10:1551840-1552184,38,0,0
NC_000001.10:1558731-1559469,61,1,0
NC_000001.10:1559993-1561090,109,0,0
NC_000001.10:1561859-1562855,125,2,2
NC_000001.10:1562940-1564136,126,2,2
NC_000001.10:1564489-1565227,81,1,0
NC_000001.10:1565637-1566070,74,1,0
NC_000001.10:1567404-1567760,11,1,0
NC_000001.10:1571608-1572563,213,9,0
NC_000001.10:1582451-1582721,80,1,0
NC_000001.10:1583196-1583466,5,1,0
NC_000001.10:1585424-1585789,80,5,0
NC_000001.10:1588629-1588979,80,0,0
NC_000001.10:1597068-1597557,46,1,0
NC_000001.10:1599788-1600058,41,1,0
NC_000001.10:1601089-1601724,67,2,0
NC_000001.10:1602767-1603123,37,1,0
NC_000001.10:1606742-1607065,51,1,0
NC_000001.10:1632820-1633167,1,0,0
NC_000001.10:1634828-1636002,204,0,0
NC_000001.10:1646426-1646695,8,2,0
NC_000001.10:1647675-1648031,203,2,0
NC_000001.10:1650621-1650962,50,2,0
NC_000001.10:1653874-1654301,39,1,0
NC_000001.10:1663675-1664025,36,0,0
NC_000001.10:1666151-1666421,15,1,0
NC_000001.10:1669599-1669923,63,1,0
NC_000001.10:1684138-1684648,65,1,0
NC_000001.10:1684916-1685236,25,3,2
NC_000001.10:1685338-1686168,149,2,2
NC_000001.10:1686616-1686966,59,2,0
NC_000001.10:1687517-1688368,179,1,0
NC_000001.10:1688548-1688898,13,1,0
NC_000001.10:1689793-1690158,33,0,0
NC_000001.10:1690435-1690776,34,2,0
NC_000001.10:1691075-1691437,38,1,0
NC_000001.10:1693311-1693667,29,0,0
NC_000001.10:1696514-1696971,24,1,0
NC_000001.10:1718558-1718881,79,1,0
NC_000001.10:1720429-1720877,83,1,0
NC_000001.10:1721738-1722076,119,2,0
NC_000001.10:1724467-1724835,33,0,0
NC_000001.10:1735684-1736034,72,4,0
NC_000001.10:1737839-1738192,44,1,0
NC_000001.10:1747147-1747482,67,2,0
NC_000001.10:1749194-1749514,26,0,0
NC_000001.10:1756695-1757060,67,2,0
NC_000001.10:1823169-1823498,46,3,3
NC_000001.10:1823581-1824248,189,3,3
NC_000001.10:1846500-1846847,31,0,0
NC_000001.10:1847003-1847341,39,1,0
NC_000001.10:1847750-1848749,109,1,0
NC_000001.10:1849130-1850730,174,0,0
NC_000001.10:1853601-1853942,25,1,2
NC_000001.10:1853952-1854299,22,1,2
NC_000001.10:1854334-1854687,12,0,1
NC_000001.10:1854747-1855103,30,3,5
NC_000001.10:1855118-1855468,40,0,4
NC_000001.10:1855758-1856099,35,3,0
NC_000001.10:1857189-1857539,43,0,2
NC_000001.10:1857595-1858576,169,2,2
NC_000001.10:1858985-1859308,74,2,0
NC_000001.10:1860069-1860410,46,2,0
NC_000001.10:1861493-1861896,58,0,0
NC_000001.10:1870248-1870607,43,0,0
NC_000001.10:1870944-1871294,22,1,0
NC_000001.10:1871692-1872036,34,2,0
NC_000001.10:1873400-1873756,20,1,0
NC_000001.10:1875730-1876077,36,0,0
NC_000001.10:1877698-1878051,82,0,0
NC_000001.10:1878309-1878665,57,2,0
NC_000001.10:1886516-1887423,80,1,0
NC_000001.10:1887899-1888249,49,0,0
NC_000001.10:1890443-1890775,28,0,0
NC_000001.10:1891243-1891587,60,1,0
NC_000001.10:1895107-1895436,39,1,0
NC_000001.10:1896268-1896618,45,3,0
NC_000001.10:1897730-1898095,21,1,0
NC_000001.10:1899952-1900299,51,0,0
NC_000001.10:1902070-1902420,16,1,0
NC_000001.10:1903270-1903617,16,0,0
NC_000001.10:1904192-1904530,22,0,0
NC_000001.10:1905450-1905800,31,0,0
NC_000001.10:1916604-1916966,89,0,0
NC_000001.10:1918312-1918659,37,2,0
NC_000001.10:1919386-1919718,19,1,0
NC_000001.10:1919892-1920227,27,3,1
NC_000001.10:1920260-1920619,23,2,1
NC_000001.10:1922183-1922557,41,1,0
NC_000001.10:1956210-1956551,45,2,2
NC_000001.10:1956664-1957245,76,2,2
NC_000001.10:1958860-1959189,33,0,0
NC_000001.10:1959502-1959822,29,1,0
NC_000001.10:1960449-1960787,27,0,0
NC_000001.10:1960914-1961255,65,1,0
NC_000001.10:1961380-1961881,31,0,0
NC_000001.10:1981858-1982312,6,0,0
NC_000001.10:1986702-1987043,49,3,0
NC_000001.10:1987849-1988217,23,2,0
NC_000001.10:1990796-1991143,25,0,0
NC_000001.10:2002547-2002867,13,0,0
NC_000001.10:2005476-2005799,35,0,0
NC_000001.10:2013696-2014022,95,5,0
NC_000001.10:2066595-2066936,49,3,0
NC_000001.10:2075470-2075820,27,0,0
NC_000001.10:2075905-2076246,48,2,0
NC_000001.10:2077286-2077639,97,5,0
NC_000001.10:2080224-2080583,89,4,0
NC_000001.10:2082120-2082473,43,0,0
NC_000001.10:2087380-2087718,50,1,0
NC_000001.10:2100330-2101086,106,0,0
NC_000001.10:2103381-2103885,126,1,0
NC_000001.10:2105262-2105594,44,1,0
NC_000001.10:2106102-2106437,59,2,0
NC_000001.10:2106547-2106888,36,0,0
NC_000001.10:2113104-2114180,192,0,0
NC_000001.10:2115829-2116185,58,3,5
NC_000001.10:2116232-2116976,150,3,5
NC_000001.10:2117431-2117796,12,0,0
NC_000001.10:2118462-2118782,20,0,0
NC_000001.10:2120961-2122087,114,1,0
NC_000001.10:2124269-2124539,18,1,0
NC_000001.10:2125052-2125710,68,0,0
NC_000001.10:2126045-2126419,1,0,0
NC_000001.10:2129410-2129748,26,2,0
NC_000001.10:2130133-2130542,30,1,0
NC_000001.10:2132322-2132693,32,1,0
NC_000001.10:2160102-2161326,115,1,0
NC_000001.10:2234305-2234877,80,1,0
NC_000001.10:2235269-2236047,77,2,0
NC_000001.10:2237301-2237725,28,1,0
NC_000001.10:2237984-2238325,3,0,0
NC_000001.10:2252700-2253041,18,1,0
NC_000001.10:2255410-2255760,23,0,0
NC_000001.10:2263982-2264305,18,0,0
NC_000001.10:2267836-2268411,42,1,0
NC_000001.10:2286656-2286926,21,0,0
NC_000001.10:2288838-2289200,80,2,0
NC_000001.10:2289866-2290195,85,2,0
NC_000001.10:2303249-2303519,8,0,0
NC_000001.10:2303736-2304074,79,2,0
NC_000001.10:2305781-2306107,39,1,0
NC_000001.10:2310278-2310726,28,0,0
NC_000001.10:2316342-2316695,49,2,0
NC_000001.10:2317118-2317468,36,0,0
NC_000001.10:2318809-2319135,40,0,0
NC_000001.10:2319626-2319967,66,1,0
NC_000001.10:2321260-2321589,39,1,0
NC_000001.10:2322730-2323166,35,1,0
NC_000001.10:2327161-2327493,74,1,0
NC_000001.10:2328368-2328724,71,3,0
NC_000001.10:2330656-2331021,41,3,0
NC_000001.10:2332213-2332554,33,1,0
NC_000001.10:2333513-2333919,47,0,0
NC_000001.10:2334447-2334770,43,1,0
NC_000001.10:2336963-2337304,79,0,0
NC_000001.10:2337856-2338523,93,1,0
NC_000001.10:2339804-2340388,45,2,0
NC_000001.10:2341719-2342093,39,2,1
NC_000001.10:2342144-2342488,30,2,1
NC_000001.10:2343803-2344144,2,0,0
NC_000001.10:2398949-2399287,27,2,0
NC_000001.10:2407938-2408285,22,1,0
NC_000001.10:2409812-2410168,39,3,0
NC_000001.10:2411009-2411791,105,1,0
NC_000001.10:2415760-2416116,65,3,0
NC_000001.10:2418227-2418876,95,0,0
NC_000001.10:2418966-2419289,31,0,0
NC_000001.10:2420571-2420891,50,2,0
NC_000001.10:2421119-2421442,24,0,0
NC_000001.10:2422539-2422868,45,1,0
NC_000001.10:2426108-2426452,68,1,0
NC_000001.10:2426762-2427097,19,2,0
NC_000001.10:2427955-2428533,64,1,0
NC_000001.10:2428768-2429118,3,1,0
NC_000001.10:2429859-2430369,57,2,2
NC_000001.10:2430435-2430761,28,1,2
NC_000001.10:2430956-2431279,20,0,0
NC_000001.10:2433508-2434729,111,1,1
NC_000001.10:2434782-2436821,270,0,1
NC_000001.10:2440129-2440571,72,0,0
NC_000001.10:2441193-2441712,39,1,0
NC_000001.10:2442020-2442358,47,1,0
NC_000001.10:2442659-2443263,72,0,0
NC_000001.10:2444212-2444592,52,1,0
NC_000001.10:2445291-2445623,24,1,1
NC_000001.10:2445640-2445981,22,0,1
NC_000001.10:2446608-2447207,142,2,0
NC_000001.10:2449552-2450185,94,2,0
NC_000001.10:2450563-2450898,27,0,0
NC_000001.10:2451201-2451539,24,1,1
NC_000001.10:2451592-2451951,28,2,2
NC_000001.10:2452018-2452380,46,2,1
NC_000001.10:2452516-2452845,54,1,0
NC_000001.10:2453035-2453527,75,2,0
NC_000001.10:2457872-2458195,34,0,0
NC_000001.10:2460729-2461728,41,1,0
NC_000001.10:2487880-2488298,73,1,0
NC_000001.10:2488986-2489330,48,4,0
NC_000001.10:2489705-2490034,37,0,0
NC_000001.10:2490148-2491479,187,0,0
NC_000001.10:2491966-2492328,41,0,0
NC_000001.10:2492872-2493367,51,1,0
NC_000001.10:2494150-2494491,53,0,1
NC_000001.10:2494571-2494927,19,1,1
NC_000001.10:2518204-2518886,20,3,2
NC_000001.10:2519033-2519368,22,4,2
NC_000001.10:2519714-2520138,42,3,1
NC_000001.10:2520214-2520561,43,2,1
NC_000001.10:2520682-2521115,65,1,0
NC_000001.10:2522202-2522730,52,3,2
NC_000001.10:2522780-2523103,8,3,2
NC_000001.10:2523216-2523563,26,0,0
NC_000001.10:2524018-2524519,82,0,0
NC_000001.10:2525150-2525494,30,1,0
NC_000001.10:2525662-2525994,14,0,0
NC_000001.10:2526141-2526476,17,5,4
NC_000001.10:2526581-2526925,46,4,4
NC_000001.10:2527366-2527698,52,2,0
NC_000001.10:2527921-2528253,76,1,0
NC_000001.10:2529577-2529942,35,1,1
NC_000001.10:2530030-2530371,62,2,1
NC_000001.10:2535241-2535858,56,2,0
NC_000001.10:2536833-2537162,15,4,0
NC_000001.10:2537579-2537911,33,1,0
NC_000001.10:2538330-2538650,33,2,0
NC_000001.10:2540696-2541337,85,0,0
NC_000001.10:2542640-2542969,14,0,0
NC_000001.10:2543414-2543734,61,3,0
NC_000001.10:2560682-2561041,19,0,0
NC_000001.10:2572621-2573353,35,0,0
NC_000001.10:2575703-2576047,15,0,0
NC_000001.10:2576576-2577021,32,1,0
NC_000001.10:2700088-2700426,33,0,0
NC_000001.10:2702385-2702714,25,4,0
NC_000001.10:2703970-2704412,39,1,0
NC_000001.10:2706028-2706369,3,0,0
NC_000001.10:2938062-2939535,321,3,0
NC_000001.10:2980655-2981008,21,2,0
NC_000001.10:2983742-2984184,30,0,0
NC_000001.10:2985654-2985986,22,3,0
NC_000001.10:3044438-3044809,24,0,0
NC_000001.10:3102551-3103058,85,1,0
NC_000001.10:3160452-3160775,50,1,0
NC_000001.10:3301658-3302002,52,1,0
NC_000001.10:3310901-3311260,4,0,0
NC_000001.10:3312885-3313205,22,1,0
NC_000001.10:3319238-3319561,29,2,0
NC_000001.10:3321204-3321536,57,1,0
NC_000001.10:3322026-3322364,81,3,0
NC_000001.10:3327783-3329425,327,2,0
NC_000001.10:3331020-3331361,36,0,0
NC_000001.10:3334250-3334576,62,0,0
NC_000001.10:3335019-3335387,35,4,0
NC_000001.10:3342060-3342392,93,3,0
NC_000001.10:3342571-3342891,39,0,0
NC_000001.10:3347278-3347705,52,0,0
NC_000001.10:3348483-3348812,49,0,0
NC_000001.10:3350166-3350504,45,0,0
NC_000001.10:3379590-3380337,123,0,0
NC_000001.10:3382511-3382840,40,2,0
NC_000001.10:3383611-3383961,59,4,0
NC_000001.10:3385227-3385580,26,1,0
NC_000001.10:3385887-3386216,65,2,0
NC_000001.10:3388165-3388500,31,0,0
NC_000001.10:3389607-3390357,137,2,0
NC_000001.10:3391118-3391438,43,1,0
NC_000001.10:3392434-3392778,8,0,0
NC_000001.10:3394330-3394677,55,0,0
NC_000001.10:3394855-3395193,107,2,0
NC_000001.10:3395891-3396562,77,1,0
NC_000001.10:3397000-3397332,41,2,0
NC_000001.10:3406840-3407169,18,0,0
NC_000001.10:3407396-3407740,50,1,0
NC_000001.10:3409052-3409414,38,1,0
NC_000001.10:3410193-3410718,46,0,0
NC_000001.10:3410924-3411443,22,3,0
NC_000001.10:3412273-3412632,35,1,0
NC_000001.10:3413137-3414306,103,1,0
NC_000001.10:3414889-3415554,26,1,1
NC_000001.10:3415611-3415970,11,1,1
NC_000001.10:3416109-3416604,22,0,0
NC_000001.10:3417042-3417419,21,0,0
NC_000001.10:3417517-3418012,30,1,0
NC_000001.10:3418274-3418630,39,1,0
NC_000001.10:3421615-3422155,54,1,0
NC_000001.10:3422497-3422862,31,2,0
NC_000001.10:3424319-3424672,28,1,0
NC_000001.10:3425042-3425389,24,1,0
NC_000001.10:3425554-3425898,13,1,0
NC_000001.10:3426364-3426729,20,0,0
NC_000001.10:3427288-3427638,23,0,0
NC_000001.10:3428055-3428405,34,1,0
NC_000001.10:3428518-3428862,36,3,0
NC_000001.10:3430960-3431310,26,1,0
NC_000001.10:3431907-3432275,21,1,0
NC_000001.10:3440618-3440950,13,0,0
NC_000001.10:3477074-3477418,23,1,0
NC_000001.10:3496328-3496660,11,1,0
NC_000001.10:3511850-3512179,35,0,0
NC_000001.10:3518906-3519268,40,1,0
NC_000001.10:3527657-3528170,18,0,0
NC_000001.10:3541533-3542479,33,0,0
NC_000001.10:3543998-3544342,67,2,0
NC_000001.10:3544919-3545346,81,2,0
NC_000001.10:3547332-3548266,133,0,0
NC_000001.10:3548664-3549002,76,1,0
NC_000001.10:3549794-3550114,56,3,0
NC_000001.10:3551385-3551919,181,3,0
NC_000001.10:3552366-3552737,48,2,0
NC_000001.10:3553259-3553689,77,1,0
NC_000001.10:3555165-3555515,64,0,0
NC_000001.10:3563187-3563510,68,1,0
NC_000001.10:3563947-3564267,70,3,0
NC_000001.10:3566368-3566694,15,0,0
NC_000001.10:3598702-3599073,41,2,0
NC_000001.10:3599487-3599825,50,0,0
NC_000001.10:3607256-3607526,9,0,0
NC_000001.10:3623959-3624407,150,2,0
NC_000001.10:3638451-3638792,111,1,0
NC_000001.10:3639782-3640111,26,0,0
NC_000001.10:3643540-3643869,38,1,0
NC_000001.10:3644081-3644449,56,1,0
NC_000001.10:3644606-3644947,50,0,0
NC_000001.10:3645763-3646264,63,2,0
NC_000001.10:3646462-3646800,50,2,0
NC_000001.10:3647429-3647809,43,0,0
NC_000001.10:3647874-3648203,30,0,0
NC_000001.10:3649272-3650256,212,3,0
NC_000001.10:3659583-3659915,46,0,0
NC_000001.10:3662081-3662855,90,0,0
NC_000001.10:3668873-3669395,147,1,0
NC_000001.10:3670502-3670849,110,2,0
NC_000001.10:3671828-3672175,36,9,0
NC_000001.10:3673176-3673508,25,0,0
NC_000001.10:3677783-3678124,26,2,0
NC_000001.10:3679006-3679344,4,0,0
NC_000001.10:3679668-3680467,87,2,0
NC_000001.10:3682899-3683240,42,3,0
NC_000001.10:3683667-3684032,66,1,0
NC_000001.10:3686178-3686513,61,1,0
NC_000001.10:3687816-3688225,66,2,0
NC_000001.10:3691775-3692128,28,0,0
NC_000001.10:3692291-3692623,18,3,0
NC_000001.10:3697505-3698205,88,0,0
NC_000001.10:3699112-3699441,71,2,0
NC_000001.10:3700511-3700867,55,1,0
NC_000001.10:3701599-3701931,35,0,0
NC_000001.10:3703356-3704047,132,2,0
NC_000001.10:3712288-3713130,39,0,0
NC_000001.10:3731753-3732103,52,1,0
NC_000001.10:3732614-3732970,21,1,0
NC_000001.10:3739666-3740241,101,2,0
NC_000001.10:3742263-3742595,77,1,0
NC_000001.10:3742848-3743497,206,1,0
NC_000001.10:3745672-3746028,44,1,0
NC_000001.10:3746225-3746578,35,1,0
NC_000001.10:3747597-3747920,25,0,0
NC_000001.10:3750383-3750751,54,0,0
NC_000001.10:3751448-3751822,87,6,0
NC_000001.10:3752922-3753257,24,2,0
NC_000001.10:3753694-3754112,81,1,0
NC_000001.10:3755505-3755828,82,3,0
NC_000001.10:3756140-3756493,57,0,0
NC_000001.10:3759547-3759885,29,0,0
NC_000001.10:3761258-3761617,31,2,2
NC_000001.10:3761693-3762013,44,6,2
NC_000001.10:3763893-3764255,55,0,0
NC_000001.10:3765035-3765364,41,4,0
NC_000001.10:3768820-3769155,49,2,0
NC_000001.10:3774002-3774346,26,1,0
NC_000001.10:3775104-3775454,60,2,0
NC_000001.10:3776988-3777258,23,2,0
NC_000001.10:3782061-3782571,86,4,3
NC_000001.10:3782610-3782880,37,1,3
NC_000001.10:3784441-3784791,36,0,0
NC_000001.10:3786153-3786500,32,0,0
NC_000001.10:3788898-3789269,75,0,0
NC_000001.10:3789362-3789691,27,0,0
NC_000001.10:3799975-3800470,142,1,0
NC_000001.10:3806377-3806783,105,2,0
NC_000001.10:3807104-3807756,171,4,0
NC_000001.10:3809259-3809606,86,0,0
NC_000001.10:3816673-3816943,22,1,0
NC_000001.10:4715250-4715677,47,0,0
NC_000001.10:4771849-4772869,204,1,0
NC_000001.10:4829811-4830146,44,1,0
NC_000001.10:4832307-4832752,94,4,0
NC_000001.10:4834385-4834726,94,2,0
NC_000001.10:4847538-4848128,78,2,0
NC_000001.10:5624036-5624416,20,0,0
NC_000001.10:5716226-5716496,6,4,0
NC_000001.10:5770550-5770897,20,4,0
NC_000001.10:5873717-5873987,24,7,0
NC_000001.10:5922715-5923041,55,1,1
NC_000001.10:5923100-5923628,139,1,1
NC_000001.10:5923776-5924135,31,2,0
NC_000001.10:5924374-5924715,15,0,0
NC_000001.10:5925014-5925352,18,2,0
NC_000001.10:5926268-5926618,25,1,0
NC_000001.10:5927016-5927381,59,1,0
NC_000001.10:5927759-5928192,46,2,0
NC_000001.10:5933189-5933515,50,4,0
NC_000001.10:5934385-5934738,55,1,1
NC_000001.10:5934817-5935247,38,1,1
NC_000001.10:5937130-5937489,59,1,0
NC_000001.10:5939377-5939727,68,1,0
NC_000001.10:5940129-5940470,42,0,0
NC_000001.10:5947272-5947616,110,1,0
NC_000001.10:5948511-5948852,62,2,0
NC_000001.10:5950901-5951257,67,3,0
NC_000001.10:5964522-5964896,57,0,0
NC_000001.10:5965207-5965871,130,2,0
NC_000001.10:5967127-5967462,47,3,0
NC_000001.10:5969015-5969341,40,3,0
NC_000001.10:5987527-5987892,39,1,0
NC_000001.10:5993056-5993397,50,0,0
NC_000001.10:6006976-6007326,38,3,0
NC_000001.10:6007978-6008319,75,0,0
NC_000001.10:6012655-6013017,19,2,0
NC_000001.10:6021827-6022174,48,1,0
